Target,04-0482,05-0468,07-0190,11-0015,22-0160,22-0189,23-0021,23-0153,23-0227,23-0257,23-0258,23-0264,GBT28_CORE_STD,posctrl_iR1313F_1,posctrl_iR1313F_2
IL12RB2,,,,,,,,,,,,,0.000022151337940811624,,
CCL5,,,,,,0.003703703703703704,,0.002288329519450801,0.0009784735812133072,,0.0004957858205255329,,0.27449199598322405,0.1956863613065561,0.18426596445029625
CD8B,,,,,,,,,,,,,0.0000295351172544155,0.00006406970784213224,0.00007899934167215274
PADI4,,,,,,,,,,,,,,0.002289035925632543,0.002574061882817643
TNFSF11,,,,,,,,,,,,,0.0001476755862720775,,
IL23R,,,,,,,,,,,,,,0.000017473556684217885,0.000013166556945358788
FCGR2B,,,,,,,,,0.0029354207436399216,,,,,0.00007571874563161083,0.00006583278472679394
ITGAM,,,,,,,,,0.003913894324853229,0.0015267175572519084,0.0009915716410510659,0.0028328611898017,0.0013290802764486975,0.0019453893108429244,0.001369321922317314
STAT1,,,,,0.006600660066006601,0.014814814814814815,0.002512562814070352,0.002288329519450801,0.005870841487279843,0.0030534351145038168,0.002974714923153198,0.014164305949008499,0.003256246677299309,0.0011707282978425982,0.0013166556945358788
TLR2,,,,,,,,,,,,,,,6.583278472679394e-6
FCGR2A,,,,,,0.003703703703703704,,,0.009784735812133072,0.004580152671755725,0.0019831432821021317,,,0.005480872279949676,0.005516787360105332
IL3RA,,,,,,,,,0.004892367906066536,0.00916030534351145,0.004462072384729797,,0.003071652194459212,0.0010425888821583337,0.0006978275181040158
RUNX1,,,,,0.0033003300330033004,,,0.004576659038901602,0.003913894324853229,0.0015267175572519084,0.002478929102627665,,0.007915411424183354,0.0015726201015796096,0.0011389071757735353
CD96,,,,,,,,,,,,,0.002355425601039636,0.0004892595871581007,0.0004476629361421988
PECAM1,,,,,0.0033003300330033004,,,,,0.0015267175572519084,0.0004957858205255329,,0.000022151337940811624,0.002702576767159033,0.00238973008558262
TNFRSF9,,,,,,,,,,,,,0.000059070234508831,,6.583278472679394e-6
FCGR1A,,,,,,,0.002512562814070352,,,0.0015267175572519084,0.0004957858205255329,,,0.000029122594473696472,6.583278472679394e-6
BCL6,,,,,0.19471947194719472,0.4148148148148148,0.5829145728643216,0.1945080091533181,0.23679060665362034,0.14961832061068703,0.2240951908775409,0.254957507082153,0.0010337291039045425,0.006552583756581706,0.00902567478604345
HLA-DRA,,,,,,,0.002512562814070352,0.009153318077803204,0.0410958904109589,0.013740458015267175,0.0004957858205255329,,0.016473211648650246,0.0023647546712641534,0.003094140882159315
NPR1,,,,,0.0033003300330033004,,,,,0.0015267175572519084,,,7.383779313603875e-6,5.824518894739295e-6,
IKZF2,,,,,,,,,0.0009784735812133072,,0.0009915716410510659,,0.00001476755862720775,,
TLR9,,,,,,,,,,,,,0.00003691889656801937,0.00009319230231582871,0.0001184990125082291
IL7R,,,,,,,,0.002288329519450801,0.0019569471624266144,,,,0.0015136747592887944,0.002073528726527189,0.0017248189598420014
CD9,,,,,0.036303630363036306,0.022222222222222223,,0.02745995423340961,0.011741682974559686,0.05801526717557252,0.03867129400099157,0.014164305949008499,0.00006645401382243488,0.00004659615115791436,0.00009874917709019091
IL23A,,,,,,,,,,,0.0004957858205255329,,0.0002584322759761356,0.000029122594473696472,0.000013166556945358788
S100A9,,,,,0.0165016501650165,0.007407407407407408,,0.018306636155606407,0.04403131115459882,0.013740458015267175,0.027764005949429845,0.0028328611898017,0.00001476755862720775,0.2311460323377289,0.23458854509545754
TLR7,,,,,,,,,0.0009784735812133072,,,,,0.00004077163226317506,0.00003291639236339697
S100A8,,,,,0.0033003300330033004,,0.002512562814070352,0.006864988558352402,0.004892367906066536,0.0030534351145038168,0.006941001487357461,,,0.007822328875634872,0.009953917050691244
NCR3,,,,,0.0033003300330033004,,,,,,,,0.002717230787406226,0.0005242067005265366,0.0005398288347597104
PRF1,,,,,,,,,,,,,0.01893939393939394,0.008084432225898141,0.00500329163923634
CD27,,,,,,,,,,,,,0.007213952389390986,0.029687572806486186,0.03086899275839368
STAT3,,,,,,0.003703703703703704,0.002512562814070352,,0.0019569471624266144,0.0015267175572519084,0.001487357461576599,0.0028328611898017,0.00037657274499379765,0.00037859372815805413,0.0003225806451612903
CD79A,,,,,,,,,,,,,0.00013290802764486976,0.00140370905363217,0.0013824884792626728
HAVCR2,,,,,,0.007407407407407408,,,,,0.0009915716410510659,,0.0005611672278338945,0.00004077163226317506,0.00004608294930875576
MPO,,,,,,,,,,0.0015267175572519084,,,7.383779313603875e-6,0.0002155071991053539,0.00018433179723502304
KLRC1,,,,,,,0.005025125628140704,,,,0.0004957858205255329,,,0.000017473556684217885,0.000013166556945358788
ICOS,,,,,,,,,,,,,0.001705653021442495,0.00002329807557895718,0.000013166556945358788
GZMB,,,,,,,,,,,,,0.02004696083643452,0.0005591538138949723,0.0004937458854509546
SLC3A2,,,,,0.09900990099009901,0.1037037037037037,0.06532663316582915,0.05263157894736842,0.03816046966731898,0.03969465648854962,0.04164600892414477,0.06515580736543909,0.026707129777305216,0.007938819253529659,0.0070506912442396315
RORA,,,,,,,,,,,,,7.383779313603875e-6,,
FCGR3A,,,,,,,,,,,,,,5.824518894739295e-6,0.000013166556945358788
BACH2,,,,,,,,,,,,,,5.824518894739295e-6,
PVR,,,,,,0.003703703703703704,,0.011441647597254004,0.0009784735812133072,0.0015267175572519084,,,0.00013290802764486976,5.824518894739295e-6,0.00005266622778143515
LRRC32,,,,,,0.003703703703703704,0.002512562814070352,0.004576659038901602,0.004892367906066536,0.0030534351145038168,0.0039662865642042635,0.0056657223796034,7.383779313603875e-6,,
ITGAL,,,,,0.0033003300330033004,,0.002512562814070352,0.002288329519450801,0.0029354207436399216,0.004580152671755725,0.001487357461576599,,0.11821430681079804,0.06179232095428917,0.06094140882159315
KLRB1,,,,,,,,,,,0.0004957858205255329,,0.0008934372969460688,0.0006173990028423653,0.00039499670836076365
IFNG,,,,,,,,,,,,,0.00011075668970405813,,
CCR4,,,,,,,,,,,,,0.00003691889656801937,,
FCER2,,,,,,,,,,,,,,0.0002213317180000932,0.0002238314680710994
IL5,,,,,,,,,,,,,0.0011371020142949967,,
IL1RL1,,,,,,,,,0.0009784735812133072,,,,0.0000295351172544155,0.000029122594473696472,
KLRD1,,,,,,,,,,,0.0009915716410510659,,7.383779313603875e-6,0.00027375238805274683,0.00016458196181698485
CD68,,,,,0.0033003300330033004,0.003703703703703704,,0.002288329519450801,0.00684931506849315,,0.002478929102627665,0.0028328611898017,0.0002805836139169473,0.004024742556264852,0.0034430546412113233
CD4,,,,,,,,,,0.0015267175572519084,0.0004957858205255329,0.0028328611898017,0.0010263453245909387,0.00045431247378966495,0.0004739960500329164
